Author,Number of List Appearances - Author,Genre
"""Adam Smith"" (George Goodman)",63,Non-fiction
"""Elizabeth."" (Doubleday, Dor an.) -- 1",1,Fiction
"""Elizabeth."" (Doubleday, Dor an.) 5 5",1,Fiction
"""Elizabeth."" (Doubleday, Dor an.) 6 2",1,Fiction
"""Johnny Walker"" and  Jim DeFelice",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) -- 1",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) -- 34",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) -- 36",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 10",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 11",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 12",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 13",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 14",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 15",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 16",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 17",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 18",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 19",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 29",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 8",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 2 9",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 20",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 21",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 24",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 25",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 26",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 28",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 6",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 3 7",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 22",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 23",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 27",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 30",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 31",1,Non-fiction
"""M"" (Lyle Stuart, Inc.) 4 5",1,Non-fiction
