Title,Number of List Appearances - Book,Genre
"""H"" IS FOR HOMICIDE",15,Fiction
"""I"" IS FOR INNOCENT",11,Fiction
"""J"" IS FOR JUDGMENT",10,Fiction
"""K"" IS FOR KILLER",9,Fiction
"""L"" IS FOR LAWLESS",7,Fiction
"""M"" IS FOR MALICE",6,Fiction
"""MOST BLESSED OF THE PATRIARCHS""",1,Non-fiction
"""O"" IS FOR OUTLAW",11,Fiction
"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK",47,Non-fiction
"""P"" IS FOR PERIL",8,Fiction
"""THAT MAN"" IN THE WHITE HOUSE",3,Non-fiction
"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHI NG.""",53,Non-fiction
"""YELLOW KID"" WEIL",1,Non-fiction
$100 MISUNDERSTANDING,16,Fiction
"''. . . AND LADIES OF THE CLUB,'' by Helen Hoove n Santmyer. (Putnam,",8,Fiction
"''. . . AND LADIES OF THE CLUB,'' by Helen Hooven  Santmyer. (Putnam,",30,Fiction
"''AND I WAS THERE,'' by Edwin T. Layton with Rog er Pineau and John Costello.",1,Non-fiction
"''AND SO IT GOES,'' by Linda Ellerbee. (Putnam, $ 16.95.) Television journalism",13,Non-fiction
"''AND SO IT GOES,'' by Linda Ellerbee. (Putnam, $16.95.) Television journalism",4,Non-fiction
''G'' IS FOR GUMSHOE,6,Fiction
''M'' IS FOR MALICE,1,Fiction
''N'' IS FOR NOOSE,7,Fiction
"''SURELY YOU'RE JOKING, MR. FEYNMAN,''  by Richa rd P. Feynman. (Norton,",3,Non-fiction
"''SURELY YOU'RE JOKING, MR. FEYNMAN,'' by Richar d P. Feynman. (Norton,",3,Non-fiction
"''SURELY YOU'RE JOKING, MR. FEYNMANN '' by Richar d P. Feynmann.",1,Non-fiction
"''SURELY YOU'RE JOKING, MR. FEYNMANN,'' by Richa rd P. Feynmann.",2,Non-fiction
"''SURELY YOU'RE JOKING, MR. FEYNMANN,'' by Richar d P. Feynmann.",4,Non-fiction
"''SURELY YOU'RE JOKING, MR. FEYNMANN,'' by Richar d P. Reynmann.",1,Non-fiction
"''THE GOOD WAR,'' by Studs Terkel. (Pantheon, $1 9.95.) World War II as",5,Non-fiction
"''THE GOOD WAR,'' by Studs Terkel. (Pantheon, $19 .95.) World War II as",18,Non-fiction
"''YOU CAN FOOL ALL OF THE PEOPLE ALL OF THE TIME ,''  by Art Buchwald.",1,Non-fiction
"''YOU CAN FOOL ALL OF THE PEOPLE ALL OF THE TIME ,'' by Art Buchwald.",4,Non-fiction
"''YOU CAN FOOL ALL OF THE PEOPLE ALL OF THE TIME, '' by Art Buchwald.",2,Non-fiction
"'AND SO IT GOES,'' by Linda Ellerbee. (Putnam, $1 6.95.) Television journalism as",1,Non-fiction
'TIS,38,Non-fiction
'TIS HERSELF,1,Non-fiction
(RE)BORN IN THE USA,1,Non-fiction
-- 1,1,Non-fiction
. . . AND NEVER LET HER GO,2,Non-fiction
. . . AND THE HORSE HE RODE IN ON,6,Non-fiction
10 LB. PENALTY,7,Fiction
10% HAPPIER,9,Non-fiction
100 PEOPLE WHO ARE SCREWING UP AMERICA,13,Non-fiction
"100 YEARS, 100 STORIES",10,Non-fiction
"100,000 GUINEA PIGS",12,Non-fiction
102 MINUTES,8,Non-fiction
10TH ANNIVERSARY,8,Fiction
11/22/63,21,Fiction
11TH HOUR,8,Fiction
12 MONTHS TO LIVE,3,Fiction
1225 CHRISTMAS TREE LANE,4,Fiction
12TH OF NEVER,6,Fiction
13 BANKERS,5,Non-fiction
13 HOURS,6,Non-fiction
1356,1,Fiction
1421,5,Non-fiction
1491,4,Non-fiction
1493,6,Non-fiction
14TH DEADLY SIN,7,Fiction
15TH AFFAIR,7,Fiction
1600 PENNSYLVANIA AVENUE,3,Non-fiction
16TH SEDUCTION,7,Fiction
17 CARNATIONS,2,Non-fiction
1776,34,Non-fiction
1861,1,Non-fiction
1876,25,Fiction
19 PURCHASE STREET,7,Fiction
1919,1,Fiction
1944,2,Non-fiction
1964,5,Non-fiction
1999,11,Non-fiction
1Q84,9,Fiction
1ST CASE,5,Fiction
1ST TO DIE,13,Fiction
"20,000 YEARS IN SING SING",14,Non-fiction
2010 TAKE BACK AMERICA,2,Non-fiction
2010: ODYSSEY TWO,24,Fiction
2030,3,Fiction
2034,1,Fiction
206 BONES,4,Fiction
2061: Odyssey Three,19,Fiction
21 LESSONS FOR THE 21ST CENTURY,7,Non-fiction
21 NIGHTS,1,Non-fiction
21ST BIRTHDAY,5,Fiction
22 SECONDS,7,Fiction
24,1,Non-fiction
28 SUMMERS,11,Fiction
2ND CHANCE,8,Fiction
3001: THE FINAL ODYSSEY,10,Fiction
32 YOLKS,1,Non-fiction
3RD DEGREE,8,Fiction
4,2,Fiction
4 3 2 1,1,Fiction
40 CHANCES,3,Non-fiction
"400,000,000 CUSTOMERS",4,Non-fiction
41,12,Non-fiction
44 CHARLES STREET,5,Fiction
4TH OF JULY,11,Fiction
"5 PGA Tour Qualifying Tournament, which determi nes whether a golfer will",1,Non-fiction
500 DAYS,1,Non-fiction
5000 NIGHTS AT THE OPERA,2,Non-fiction
61 HOURS,6,Fiction
"63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO R EAD, by",3,Non-fiction
"63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ, by",1,Non-fiction
70 MILES FROM A LEMON,2,Non-fiction
"70,000 TO ONE",2,Non-fiction
700 SUNDAYS,8,Non-fiction
72 HOUR HOLD,1,Fiction
77 SHADOW STREET,3,Fiction
79 PARK AVENUE,9,Fiction
7TH HEAVEN,10,Fiction
920 O'FARRELL STREET,19,Non-fiction
A BACKWARD GLANCE,1,Non-fiction
A BANQUET OF CONSEQUENCES,2,Fiction
A BASIC HISTORY OF THE UNITED STATES,2,Non-fiction
A BAXTER FAMILY CHRISTMAS,3,Fiction
A BEAUTIFULLY FOOLISH ENDEAVOR,1,Fiction
A BED BY THE WINDOW,4,Fiction
A BEGGAR IN JERUSALEM,7,Fiction
A BELL FOR ADANO,28,Fiction
A BEND IN THE ROAD,20,Fiction
A BETTER MAN,5,Fiction
A BIG LITTLE LIFE,2,Non-fiction
A BLAZE OF GLORY,4,Fiction
A BOLD FRESH PIECE OF HUMANITY,52,Non-fiction
A BOOK ABOUT A THOUSAND THINGS,3,Non-fiction
A BOOK OF COMMON PRAYER,15,Fiction
A BOOK OF DAYS,4,Non-fiction
A BOOK OF SECRETS,1,Non-fiction
A BREATH OF AIR,2,Fiction
A BREATH OF SNOW AND ASHES,5,Fiction
A BRIDGE FOR PASSING,9,Non-fiction
A BRIDGE TOO FAR,22,Non-fiction
A BRIEF HISTORY OF TIME,112,Non-fiction
A BRIGHT SHINING LIE,24,Non-fiction
A BRILLIANT MADNESS,10,Non-fiction
A BROTHER'S JOURNEY,2,Non-fiction
A BURNING,1,Fiction
A BURNT-OUT CASE,26,Fiction
A CALAMITY OF SOULS,8,Fiction
A CALL TO ACTION,4,Non-fiction
A CANDLE FOR ST. JUDE,4,Fiction
A CARESS OF TWILIGHT,2,Fiction
A CARNIVAL OF SNACKERY,1,Non-fiction
A CASE OF NEED,9,Fiction
A CAST OF KILLERS,12,Non-fiction
A CATHOLIC SPEAKS HIS MIND,1,Non-fiction
A CATSKILL EAGLE,9,Fiction
A CEDAR COVE CHRISTMAS,4,Fiction
A CERTAIN JUSTICE,14,Fiction
A CERTAIN SMILE,19,Fiction
A CHAIN OF THUNDER,2,Fiction
A CHAMPION’S MIND,1,Non-fiction
A CHANGE IN ALTITUDE,1,Fiction
A CHARLIE BROWN CHRISTMAS,6,Non-fiction
A CHARMED LIFE,10,Fiction
A CHILD OF THE CENTURY,24,Non-fiction
A CHINESE TESTAMENT: The Autobiography of Tan Shih Hua. (Simon &,3,Non-fiction
A CHRISTMAS DUET,1,Fiction
A CHRISTMAS MEMORY,1,Fiction
A CITIZEN'S GUIDE TO BEATING DONALD TRUMP,1,Non-fiction
A CITY OF BELLS,3,Fiction
A CITY ON MARS,1,Non-fiction
A CIVIL TONGUE,2,Non-fiction
A CLASH OF KINGS,1,Fiction
A COLD HEART,6,Fiction
A COLONY IN A NATION,3,Non-fiction
A COLOSSAL FAILURE OF COMMON SENSE,3,Non-fiction
A COLUMN OF FIRE,15,Fiction
A COMMON LIFE,10,Fiction
A COMMON STRUGGLE,3,Non-fiction
A CONFEDERACY OF DUMPTYS,1,Non-fiction
A CONJURING OF LIGHT,1,Fiction
A COURSE CALLED AMERICA,1,Non-fiction
A COURT OF SILVER FLAMES,6,Fiction
A COVENANT WITH DEATH,10,Fiction
A CRACK IN THE EDGE OF THE WORLD,2,Non-fiction
A CREED FOR FREE ENTERPRISE,1,Non-fiction
A CREED FOR THE THIRD MILLENNIUM,9,Fiction
A CROWN OF SWORDS,8,Fiction
A CRUEL AND SHOCKING ACT,1,Non-fiction
A CUP OF CHRISTMAS TEA,10,Fiction
A CURIOUS MIND,4,Non-fiction
A DANCE TO THE MUSIC OF TIME: The Kindly Ones,2,Fiction
A DANCE WITH DRAGONS,86,Fiction
A DANGEROUS FORTUNE,14,Fiction
A DANGEROUS MAN,2,Fiction
A DANGEROUS PLACE,2,Fiction
A DARKER PLACE,3,Fiction
A DARKNESS MORE THAN NIGHT,8,Fiction
"A DAY IN THE LIFE OF AMERICA. (Collins Publisher s, $39.95.) The nation on",12,Non-fiction
"A DAY IN THE LIFE OF AMERICA. (Collins Publishers , $39.95.) The nation on",42,Non-fiction
A DAY IN THE LIFE OF PRESIDENT KENNEDY,23,Non-fiction
"A DAY IN THE LIFE OF THE SOVIET UNION. (Collins P ublishers, $39.95.) The",5,Non-fiction
"A DAY IN THE LIFE OF THE SOVIET UNION. (Collins Publishers, $39.95.) The",5,Non-fiction
A DAY LATE AND A DOLLAR SHORT,12,Fiction
A DAY OF BATTLE,5,Fiction
A DAY OF FALLEN NIGHT,3,Fiction
A DEADLY EDUCATION,1,Fiction
A DEADLY GAME,7,Non-fiction
A DEATH IN BELMONT,3,Non-fiction
A DEATH IN CORNWALL,3,Fiction
A DEATH IN THE FAMILY,16,Fiction
A DEATH IN VIENNA,5,Fiction
A DEEPER LOVE INSIDE,4,Fiction
A DEFICIT OF DECENCY,2,Non-fiction
A DELICATE TOUCH,1,Fiction
A DELICATE TRUTH,4,Fiction
A DEMOCRAT LOOKS AT HIS PARTY,11,Non-fiction
A DENSITY OF SOULS,1,Fiction
A DEVIL IS WAITING,1,Fiction
A DICTIONARY OF CONTEMPORARY AMERICAN USAGE,1,Non-fiction
A DICTIONARY OF MODERN ENGLISH USAGE,4,Non-fiction
A DIFFERENT DRUMMER,2,Non-fiction
A DIRTY JOB,5,Fiction
A DISCOVERY OF WITCHES,8,Fiction
A DISTANT MIRROR,36,Non-fiction
A DISTANT SHORE,1,Fiction
A DISTANT TRUMPET,12,Fiction
A DOCTOR IN THE HOUSE,12,Non-fiction
A DOG'S JOURNEY,1,Fiction
A DOG'S LIFE,9,Fiction
A DOG'S WAY HOME,2,Fiction
A DREAM ABOUT LIGHTNING BUGS,1,Non-fiction
A DREAM OF KINGS,13,Fiction
A DRINKING LIFE,9,Non-fiction
A FABLE,15,Fiction
"A FAMILY CHRISTMAS, edited by Caroline Kennedy. ( Hyperion, $26.95.) Poetry,",3,Non-fiction
"A FAMILY CHRISTMAS, edited by Caroline Kennedy. (Hyperion, $26.95.) Poetry,",1,Non-fiction
A FAMILY PARTY,1,Fiction
A FATE INKED IN BLOOD,8,Fiction
A FATHER FIRST,2,Non-fiction
A FEARFUL JOY,4,Fiction
A FEAST FOR CROWS,5,Fiction
A FEVER IN THE BLOOD,3,Fiction
A FEVER IN THE HEARTLAND,4,Non-fiction
A FEW BRASS TACKS,1,Non-fiction
A FEW BUTTONS MISSING,1,Non-fiction
A FEW FOOLISH ONES,1,Fiction
A FEW MINUTES WITH ANDY ROONEY,46,Non-fiction
A FEW OF THE GIRLS,2,Fiction
