Date,Rank,Title,Author,Publisher,Description
08-20-1967,1,THE ARRANGEMENT,Elia Kazan,Stein and Day.,
08-20-1967,2,THE EIGHTH DAY,Thornton Wilder,Harper and R ow.,
08-20-1967,3,THE CHOSEN,Chaim Potok,Simon and Schuster.,
08-20-1967,4,"WASHINGTON, D.C.",Gore Vidal,"Little, Brown a nd Company.",
08-20-1967,5,THE PLOT,Irving Wallace,Simon and Schuster.,
08-20-1967,6,ROSEMARY'S BABY,Ira Levin,Random House.,
08-20-1967,7,NIGHT FALLS ON THE CITY,Sarah Gainham,Holt Rinehart Winston.,
08-20-1967,8,TALES OF MANHATTAN,Louis Auchincloss,Hought on Mifflin.,
08-20-1967,9,WHEN SHE WAS GOOD,Philip Roth,Random House.,
08-20-1967,10,THE KING OF THE CASTLE,Victoria Holt,Doubl eday and Company.,
04-29-1951,1,FROM HERE TO ETERNITY,James Jones,Charles S cribner's Sons.,
04-29-1951,2,JOY STREET,Frances Parkinson Keyes,"Julian M essner, Inc.",
04-29-1951,3,THE DISENCHANTED,Budd Schulberg,Random Hous e.,
04-29-1951,4,THE CAINE MUTINY,Herman Wouk,Doubleday.,
04-29-1951,5,THE AGE OF LONGING,Arthur Koestler,Collins.,
04-29-1951,6,MORNING JOURNEY,James Hilton,"Little, Brown and Co.",
04-29-1951,7,NEW YORK 22,Ilka Chase,Doubleday and Co.,
04-29-1951,8,FESTIVAL,J.B. Priestley,Harper and Brothers .,
04-29-1951,9,THE BALANCE WHEEL,Taylor Caldwell,Charles S cribner's Sons.,
04-29-1951,10,OLD HERBACEOUS,Reginald Arkell,"Harcourt, B race and Company.",
04-29-1951,11,GOD'S MEN,Pearl S. Buck,John Day.,
04-29-1951,12,ROUND THE BEND,Nevil Shute,William Morrow and Company.,
04-29-1951,13,THE CARDINAL,Henry Morton Robinson,Simon a nd Schuster.,
04-29-1951,14,THE LEFT HAND OF GOD,William E. Barrett,Do ubleday and Co. Inc.,
04-29-1951,15,WORLD SO WIDE,Sinclair Lewis,Random House.,
04-29-1951,16,JENKINS' EAR,Odell Shepard and Willard Shepa rd,Macmillan Company.,
08-16-1981,1,NOBLE HOUSE,James Clavell,"Delacorte,",
08-16-1981,2,GORKY PARK,Martin Cruz Smith,"Random House,",
08-16-1981,3,THE THIRD DEADLY SIN,Lawrence Sanders,"Putna m's,",Chief of Detectives (ret
08-16-1981,4,THE GLITTER DOME,Joseph Wambaugh,"Morrow/Per igord,",
08-16-1981,5,CUJO,Stephen King,"Viking,",
08-16-1981,6,"GOODBYE, JANETTE",Harold Robbins,"Simon & Sch uster,",
08-16-1981,7,TRADE WIND,M.M. Kaye,"St. Martin's,",
08-16-1981,8,GOD EMPEROR OF DUNE,Frank Herbert,"Putnam's,",
08-16-1981,9,THE CLOWNS OF GOD,Morris West,"Morrow,",
08-16-1981,10,THE CARDINAL SINS,Andrew M. Greeley,"Warner /Bernard Geis,",
08-16-1981,11,LICENSE RENEWED,John Gardner,"Richard Marek ,",
08-16-1981,12,THE WHITE HOTEL,D.M. Thomas,"Viking,",
08-16-1981,13,FREE FALL IN CRIMSON,John D. MacDonald,"Har per & Row,",
08-16-1981,14,THE COVENANT,James A. Michener,"Random Hous e,",
08-16-1981,15,TAR BABY,Toni Morrison,"Knopf,",
09-21-1980,1,RAGE OF ANGELS,Sidney Sheldon,"Morrow,",
09-21-1980,2,FIRESTARTER,Stephen King,"Viking,",
09-21-1980,3,RANDOM WINDS,Belva Plain,"Delacorte,",
09-21-1980,4,THE SPIKE,Arnaud de Borchgrave and Robert Mos s,"Crown,",
09-21-1980,5,THE FIFTH HORSEMAN,Larry Collins and Dominiqu e Lapierre,,
09-21-1980,6,FANNY,Erica Jong,"New American Library,",
09-21-1980,7,THE ORIGIN,Irving Stone,"Doubleday,",
09-21-1980,8,KANE & ABEL,Jeffrey Archer,"Simon & Schuster ,",
09-21-1980,9,THE BOURNE IDENTITY,Robert Ludlum,"Richard M arek,",
09-21-1980,10,SINS OF THE FATHERS,Susan Howatch,"Simon & Schuster,",
09-21-1980,11,BELLEFLEUR,Joyce Carol Oates,"Dutton,",
09-21-1980,12,PRINCESS DAISY,Judith Krantz,"Crown,",
09-21-1980,13,THE NINJA,Eric Van Lustbader,"M. Evans,",
09-21-1980,14,GREEN MONDAY,Michael M. Thomas,"Wyndham Boo ks,",
09-21-1980,15,THE TENTH COMMANDMENT,Lawrence Sanders,"Put nam's,",
08-02-1981,1,NOBLE HOUSE,James Clavell,"Delacorte,",
08-02-1981,2,GORKY PARK,Martin Cruz Smith,"Random House,",
08-02-1981,3,THE GLITTER DOME,Joseph Wambaugh,"Morrow/Per igord,",
08-02-1981,4,"GOODBYE, JANETTE",Harold Robbins,"Simon & Sch uster,",
08-02-1981,5,THE CLOWNS OF GOD,Morris West,"Morrow,",
08-02-1981,6,THE THIRD DEADLY SIN,Lawrence Sanders,"Putna m's,",Chief of Detectives (ret
08-02-1981,7,GOD EMPEROR OF DUNE,Frank Herbert,"Putnam's,",
08-02-1981,8,FREE FALL IN CRIMSON,John D. MacDonald,"Harp er & Row,",
08-02-1981,9,THE WHITE HOTEL,D.M. Thomas,"Viking,",
08-02-1981,10,TRADE WIND,M.M. Kaye,"St. Martin's,",
08-02-1981,11,LICENSE RENEWED,John Gardner,"Richard Marek ,",
08-02-1981,12,MASQUERADE,Kit Williams,"Schocken Books,",
08-02-1981,13,THE CARDINAL SINS,Andrew M. Greeley,"Warner /Bernard Geis,",
08-02-1981,14,XPD,Len Deighton,"Knopf,",
08-02-1981,15,TAR BABY,Toni Morrison,"Knopf,",
02-24-1941,1,RANDOM HARVEST,James Hilton,"Little, Brown.",
02-24-1941,2,FOR WHOM THE BELL TOLLS,Ernest Hemingway,Sc ribner.,
02-24-1941,3,OLIVER WISWELL,Kenneth Roberts,"Doubleday, D oran.",
02-24-1941,4,DELILAH,Marcus Goodrich,Farrar & Rinehart.,
02-24-1941,5,SAPPHIRA AND THE SLAVE GIRL,Willa Cather,Vi king.,
02-24-1941,6,TO SING WITH THE ANGELS,Maurice Hindus,"Doub leday, Doran.",
04-15-1951,1,FROM HERE TO ETERNITY,James Jones,Charles S cribner's Sons.,
04-15-1951,2,JOY STREET,Frances Parkinson Keyes,"Julian M essner, Inc.",
04-15-1951,3,THE DISENCHANTED,Budd Schulberg,Random Hous e.,
04-15-1951,4,MORNING JOURNEY,James Hilton,"Little, Brown and Co.",
04-15-1951,5,THE AGE OF LONGING,Arthur Koestler,Collins.,
04-15-1951,6,RIVER OF THE SUN,James Ramsey Ullman,J.B. L ippincott Company.,
04-15-1951,7,THE DISAPPEARANCE,Philip Wylie,Rinehart.,
04-15-1951,8,THE LEFT HAND OF GOD,William E. Barrett,Dou bleday and Co. Inc.,
04-15-1951,9,NEW YORK 22,Ilka Chase,Doubleday and Co.,
04-15-1951,10,THE BALANCE WHEEL,Taylor Caldwell,Charles Scribner's Sons.,
04-15-1951,11,ROUND THE BEND,Nevil Shute,William Morrow and Company.,
04-15-1951,12,THE CARDINAL,Henry Morton Robinson,Simon a nd Schuster.,
04-15-1951,13,FORT EVERGLADES,Frank G. Slaughter,"Doubled ay and Company, Inc.",
04-15-1951,14,OLD HERBACEOUS,Reginald Arkell,"Harcourt, B race and Company.",
04-15-1951,15,FOXFIRE,Anya Seton,Houghton Mifflin.,
04-15-1951,16,WORLD SO WIDE,Sinclair Lewis,Random House.,
04-08-2007,1,NINETEEN MINUTES,Jodi Picoult,"Atria,",
04-08-2007,2,SHOPAHOLIC & BABY,Sophie Kinsella,"Dial,",
04-08-2007,3,DADDY’S GIRL,Lisa Scottoline,"HarperCollins,",
04-08-2007,4,WHITETHORN WOODS,Maeve Binchy,"Knopf,",
04-08-2007,5,FOR A FEW DEMONS MORE,Kim Harrison,"Eos/Harp erCollins,",
04-08-2007,6,STEP ON A CRACK,James Patterson and Michael L edwidge,,
04-08-2007,7,SISTERS,Danielle Steel,"Delacorte,",
04-08-2007,8,HEART-SHAPED BOX,Joe Hill,"Morrow,",
04-08-2007,9,THE DOUBLE BIND,Chris Bohjalian,"Shaye Arehe art,",
04-08-2007,10,WHAT THE DEAD KNOW,Laura Lippman,"Morrow,",
04-08-2007,11,THE WATCHMAN,Robert Crais,"Simon & Schuster ,",
04-08-2007,12,BURNING BRIGHT,Tracy Chevalier,"Dutton,",
04-08-2007,13,INNOCENT IN DEATH,J. D. Robb,"Putnam,",
04-08-2007,14,FOR ONE MORE DAY,Mitch Albom,"Hyperion,",
04-08-2007,15,THE POST-BIRTHDAY WORLD,Lionel Shriver,"Har perCollins,",
05-05-1941,1,THIS ABOVE ALL,Eric Knight,Harper.,
05-05-1941,2,RANDOM HARVEST,James Hilton,"Little, Brown.",
05-05-1941,3,IN THIS OUR LIFE,Ellen Glasgow,"Harcourt, Br ace.",
05-05-1941,4,"H. M. PULHAM, ESQUIRE",J. P. Marquand,"Little , Brown.",
05-05-1941,5,OLIVER WISWELL,Kenneth Roberts,"Doubleday, D oran.",
05-05-1941,6,UP AT THE VILLA,W. Somerset Maugham,"Doubled ay, Doran.",
06-07-1981,1,NOBLE HOUSE,James Clavell,"Delacorte,",
06-07-1981,2,GORKY PARK,Martin Cruz Smith,"Random House,",
06-07-1981,3,FREE FALL IN CRIMSON,John D. MacDonald,"Harp er & Row,",
06-07-1981,4,GOD EMPEROR OF DUNE,Frank Herbert,"Putnam's,",
06-07-1981,5,THE COVENANT,James A. Michener,"Random House ,",
06-07-1981,6,TAR BABY,Toni Morrison,"Knopf,",
06-07-1981,7,CREATION,Gore Vidal,"Random House,","A journey through that greatest of all ages, the fifth century B"
06-07-1981,8,REFLEX,Dick Francis,"Putnam's,",
06-07-1981,9,MASQUERADE,Kit Williams,"Schocken Books,",
06-07-1981,10,THE WHITE HOTEL,D.M. Thomas,"Viking,",
06-07-1981,11,XPD,Len Deighton,"Knopf,",
06-07-1981,12,CENTURY,Fred Mustard Stewart,"Morrow,",
06-07-1981,13,THE COMPANY OF WOMEN,Mary Gordon,"Random Ho use,",
06-07-1981,14,SIRENS,Eric Van Lustbader,"M. Evans,",
06-07-1981,15,THE OFFICERS' WIVES,Thomas Fleming,"Doubled ay,",
06-13-1948,1,PILGRIM'S INN,Elizabeth Goudge,Coward McCan n.,
06-13-1948,2,THE NAKED AND THE DEAD,Norman Mailer,Random  House.,
06-13-1948,3,THE GOLDEN HAWK,Frank Yerby,Dial Press.,
06-13-1948,4,RAINTREE COUNTY,Ross Lockridge,Houghton Mif flin.,
06-13-1948,5,PARRIS MITCHELL OF KINGS ROW,Henry Bellamann,Simon & Schuster.,
06-13-1948,6,PEONY,Pearl S. Buck,Harper.,
06-13-1948,7,THE IDES OF MARCH,Thornton Wilder,Harper.,
06-13-1948,8,EAGLE IN THE SKY,F. Van Wyck Mason,Harper.,
06-13-1948,9,THE BISHOP'S MANTLE,Agnes Sligh Turnbull,Ma cmillan.,
06-13-1948,10,NO TRUMPET BEFORE HIM,Nelia Gardner White,Peoples Book Club.,
06-13-1948,11,TOBIAS BRANDYWINE,Dan Wickenden,William Mo rrow & Company.,
06-13-1948,12,EVERYBODY SLEPT HERE,Elliott Arnold,"Duell,  Sloan & Pearce.",
06-13-1948,13,BRIGHT FEATHER,Robert Wilder,Putnam.,
06-13-1948,14,FIRE,George R. Stewart,Gollancz.,
06-13-1948,15,THE TIME IS NOON,Hiram Haydn,Crown Publish ers.,
06-13-1948,16,HOUSE DIVIDED,Ben Ames Williams,Houghton M ifflin.,
03-08-1998,1,THE STREET LAWYER,John Grisham,"Doubleday,",
03-08-1998,2,PARADISE,Toni Morrison,"Knopf,",
03-08-1998,3,COLD MOUNTAIN,Charles Frazier,"Atlantic Mont hly,",
03-08-1998,4,BLACK AND BLUE,Anna Quindlen,"Random House,",
03-08-1998,5,FEAR NOTHING,Dean Koontz,"Bantam,",
03-08-1998,6,MEMOIRS OF A GEISHA,Arthur Golden,"Knopf,",
03-08-1998,7,THE CAT WHO SANG FOR THE BIRDS,Lilian Jackson  Braun,,
03-08-1998,8,BIRTHDAY LETTERS,Ted Hughes,"Farrar, Straus & Giroux,",
03-08-1998,9,A CERTAIN JUSTICE,P. D. James,"Knopf,",
03-08-1998,10,THE WINNER,David Baldacci,"Warner,",
03-08-1998,11,NIGHT TRAIN,Martin Amis,"Harmony,",
03-08-1998,12,NUMBERED ACCOUNT,Christopher Reich,"Delacor te,",
03-08-1998,13,THE GOD OF SMALL THINGS,Arundhati Roy,"Rand om House,",
03-08-1998,14,"THRILL! by Jackie Collins. (Simon & Schuster, $2 5.) Passion and ambition at work",,,
03-08-1998,15,THE INVESTIGATORS,W. E. B. Griffin,"Putnam,",
07-24-1949,1,POINT OF NO RETURN,John P. Marquand,"Little,  Brown.",
07-24-1949,2,FATHER OF THE BRIDE,Edward Streeter,Simon &  Schuster.,
07-24-1949,3,NINETEEN EIGHTY-FOUR,George Orwell,"Harcourt , Brace.",
07-24-1949,4,PRIDE'S CASTLE,Frank Yerby,Dial Press.,
07-24-1949,5,THE BIG FISHERMAN,Lloyd C. Douglas,Houghton  Mifflin.,
07-24-1949,6,THE BRAVE BULLS,Tom Lea,"Little, Brown. & Co mpany.",
07-24-1949,7,OPUS 21,Philip Wylie,Rinehart.,
07-24-1949,8,THE TRACK OF THE CAT,Walter Van Tilburg Clark ,Random House.,
07-24-1949,9,CUTLASS EMPIRE,F. Van Wyck Mason,Doubleday.,
07-24-1949,10,THE MAN WHO MADE FRIENDS WITH HIMSELF,Christoph er Morley,,
07-24-1949,11,THE NAKED AND THE DEAD,Norman Mailer,Rando m House.,
07-24-1949,12,KINFOLK,Pearl S. Buck,John Day.,
07-24-1949,13,THE FOUNTAINHEAD,Ayn Rand,Bobbs Merrill.,
07-24-1949,14,PRAIRIE AVENUE,Arthur Meeker,Knopf.,
07-24-1949,15,DINNER AT ANTOINE'S,Frances Parkinson Keyes,Julian Messner.,
07-24-1949,16,TOMORROW WE REAP,James Street and James Chil ders,Dial Press.,
02-05-2017,1,NEVER NEVER,James Patterson and Candice Fox,"Little, Brown.",
02-05-2017,2,THE UNDERGROUND RAILROAD,Colson Whitehead,D oubleday.,
02-05-2017,3,TWO BY TWO,Nicholas Sparks,Grand Central.,
02-05-2017,4,THE WHISTLER,John Grisham,Doubleday.,
02-05-2017,5,THE MISTRESS,Danielle Steel,Delacorte.,
02-05-2017,6,FEVERSONG,Karen Marie Moning,Delacorte.,
02-05-2017,7,CROSS THE LINE,James Patterson,"Little, Brow n.",
02-05-2017,8,SMALL GREAT THINGS,Jodi Picoult,Ballantine.,
02-05-2017,9,BELOW THE BELT,Stuart Woods,Putnam.,The Ne w York lawyer Stone Barrington faces danger when he finds himself in po ssession of a retired C.I
02-05-2017,10,THE CHEMIST,Stephenie Meyer,"Little, Brown.",
02-05-2017,11,NO MAN'S LAND,David Baldacci,Grand Central .,
02-05-2017,12,COMMONWEALTH,Ann Patchett,Harper.,
02-05-2017,13,A GENTLEMAN IN MOSCOW,Amor Towles,Viking.,
02-05-2017,14,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Little, Brown.",
02-05-2017,15,NIGHT SCHOOL,Lee Child,Delacorte.,"Jack Re acher, still in the Army, becomes involved in an investigation with elite age nts from the F.B.I. and C"
09-18-1977,1,THE THORN BIRDS,Colleen McCullough,"Harper &  Row,",
09-18-1977,2,ILLUSIONS,Richard Bach,"Delacorte/Eleanor Fr iede,",
09-18-1977,3,DYNASTY,Robert S. Elegant,"McGraw-Hill,",
09-18-1977,4,THE CRASH OF '79,Paul E. Erdman,"Simon & Sch uster,",
09-18-1977,5,FULL DISCLOSURE,William Safire,"Doubleday,",
09-18-1977,6,DELTA OF VENUS,Anais Nin,"Harcourt Brace Jov anovich,",
09-18-1977,7,COMA,Robin Cook,"Little, Brown,",
09-18-1977,8,OLIVER'S STORY,Erich Segal,"Harper & Row,",
09-18-1977,9,THE INVESTIGATION,Dorothy Uhnak,"Simon & Sch uster,",
09-18-1977,10,CONDOMINIUM,John D. MacDonald,"J.B. Lippinc ott,",
09-18-1977,11,THE SECOND DEADLY SIN,Lawrence Sanders,"Put nam's,",
09-18-1977,12,THE RICH ARE DIFFERENT,Susan Howatch,"Simon  & Schuster,",
09-18-1977,13,THE CHANCELLOR MANUSCRIPT,Robert Ludlum,"Di al,",
09-18-1977,14,FALCONER,John Cheever,"Knopf,",
09-18-1977,15,SEAWITCH,Allistair MacLean,"Doubleday,",
03-27-1939,1,ALL THIS AND HEAVEN TOO,Rachel Field,Macmil lan.,
03-27-1939,2,WICKFORD POINT,John P. Marquand,"Little, Bro wn.",
03-27-1939,3,THE TREE OF LIBERTY,Elizabeth Page,Farrar &  Rinehart.,
03-27-1939,4,THE PATRIOT,Pearl S. Buck,John Day.,
03-27-1939,5,REBECCA,Daphne Du Maurier,"Doubleday, Doran.",
03-27-1939,6,DISPUTED PASSAGE,Lloyd C. Douglas,Houghton Mifflin.,
06-25-1967,1,THE EIGHTH DAY,Thornton Wilder,Harper and R ow.,
06-25-1967,2,THE ARRANGEMENT,Elia Kazan,Stein and Day.,
06-25-1967,3,"WASHINGTON, D.C.",Gore Vidal,"Little, Brown a nd Company.",
06-25-1967,4,THE CHOSEN,Chaim Potok,Simon and Schuster.,
06-25-1967,5,THE PLOT,Irving Wallace,Simon and Schuster.,
06-25-1967,6,TALES OF MANHATTAN,Louis Auchincloss,Hought on Mifflin.,
06-25-1967,7,THE SECRET OF SANTA VITTORIA,Robert Crichton,Simon and Schuster.,
06-25-1967,8,GO TO THE WIDOW-MAKER,James Jones,Delacorte  Press.,
06-25-1967,9,CAPABLE OF HONOR,Allen Drury,Doubleday and Company.,
06-25-1967,10,FATHERS,Herbert Gold,Random House.,
09-05-2021,1,BILLY SUMMERS,Stephen King,Scribner.,
09-05-2021,2,BLOODLESS,Douglas Preston and Lincoln Child,Grand Central.,
09-05-2021,3,COMPLICATIONS,Danielle Steel,Delacorte.,
09-05-2021,4,THE NOISE,James Patterson and J. D. Barker,"Little, Brown.",
09-05-2021,5,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster.,
09-05-2021,6,THE PAPER PALACE,Miranda Cowley Heller,Rive rhead.,
09-05-2021,7,THE MIDNIGHT LIBRARY,Matt Haig,Viking.,
09-05-2021,8,MALIBU RISING,Taylor Jenkins Reid,Ballantin e.,
09-05-2021,9,THE PRESIDENT'S DAUGHTER,Bill Clinton and Jam es Patterson,,
09-05-2021,10,CHASING THE BOOGEYMAN,Richard Chizmar,Gall ery.,
09-05-2021,11,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwa b,Tor/Forge.,
09-05-2021,12,THE CELLIST,Daniel Silva,Harper.,
09-05-2021,13,WE WERE NEVER HERE,Andrea Bartz,Ballantine .,
09-05-2021,14,GOLDEN GIRL,Elin Hilderbrand,"Little, Brown .",
09-05-2021,15,THE FOUR WINDS,Kristin Hannah,St. Martin's .,
08-19-1990,1,THE BURDEN OF PROOF,Scott Turow,"Farrar, Str aus & Giroux,",
08-19-1990,2,MESSAGE FROM NAM,Danielle Steel,"Delacorte,",
08-19-1990,3,THE WOMEN IN HIS LIFE,Barbara Taylor Bradford ,"Random House,",
08-19-1990,4,COYOTE WAITS,Tony Hillerman,"HarperCollins,",
08-19-1990,5,GET SHORTY,Elmore Leonard,"Delacorte,",
08-19-1990,6,THE STAND,Stephen King,"Doubleday,",
08-19-1990,7,SEPTEMBER,Rosamunde Pilcher,"Dunne/St. Marti n's,",
08-19-1990,8,STARDUST,Robert B. Parker,"Putnam,",
08-19-1990,9,"OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random H ouse, $12.95.) The",,,
08-19-1990,10,HAMMERHEADS,Dale Brown,"Donald I. Fine,",
08-19-1990,11,AN INCONVENIENT WOMAN,Dominick Dunne,"Crown ,",
08-19-1990,12,THE BOURNE ULTIMATUM,Robert Ludlum,"Random House,",
08-19-1990,13,DRAGON,Clive Cussler,"Simon & Schuster,",
08-19-1990,14,KILLING MISTER WATSON,Peter Matthiessen,"Ra ndom House,",
08-19-1990,15,DARK ANGEL,Sally Beauman,"Bantam,",
04-01-1951,1,FROM HERE TO ETERNITY,James Jones,Charles S cribner's Sons.,
04-01-1951,2,JOY STREET,Frances Parkinson Keyes,"Julian M essner, Inc.",
04-01-1951,3,THE DISENCHANTED,Budd Schulberg,Random Hous e.,
04-01-1951,4,MORNING JOURNEY,James Hilton,"Little, Brown and Co.",
04-01-1951,5,THE AGE OF LONGING,Arthur Koestler,Collins.,
04-01-1951,6,THE BALANCE WHEEL,Taylor Caldwell,Charles S cribner's Sons.,
04-01-1951,7,RIVER OF THE SUN,James Ramsey Ullman,J.B. L ippincott Company.,
04-01-1951,8,THE DISAPPEARANCE,Philip Wylie,Rinehart.,
04-01-1951,9,ROUND THE BEND,Nevil Shute,William Morrow a nd Company.,
04-01-1951,10,FOXFIRE,Anya Seton,Houghton Mifflin.,
04-01-1951,11,THE CARDINAL,Henry Morton Robinson,Simon a nd Schuster.,
04-01-1951,12,NEW YORK 22,Ilka Chase,Doubleday and Co.,
04-01-1951,13,THE LEFT HAND OF GOD,William E. Barrett,Do ubleday and Co. Inc.,
04-01-1951,14,OLD HERBACEOUS,Reginald Arkell,"Harcourt, B race and Company.",
04-01-1951,15,FINISTERE,Fritz Peters,"Farrar, Straus and Young.",
04-01-1951,16,NEITHER FIVE NOR THREE,Helen MacInnes,Houg hton Mifflin Harcourt.,
04-16-1995,1,THE CELESTINE PROPHECY,James Redfield,"Warne r,",
04-16-1995,2,POLITICALLY CORRECT BEDTIME STORIES,James Fin n Garner,,
04-16-1995,3,BORDER MUSIC,Robert James Waller,"Warner,",
04-16-1995,4,OUR GAME,John le Carré,"Knopf,",
04-16-1995,5,A DOG'S LIFE,Peter Mayle,"Knopf,",
04-16-1995,6,THE GLASS LAKE,Maeve Binchy,"Delacorte,",
04-16-1995,7,PHENOMENAL WOMAN,Maya Angelou,"Random House,",
04-16-1995,8,THE BRIDGES OF MADISON COUNTY,Robert James Wa ller,,
04-16-1995,9,DAISY-HEAD MAYZIE,Dr. Seuss,"Random House,",
04-16-1995,10,ORIGINAL SIN,P.D. James,"Knopf,",
04-16-1995,11,THE FOURTH PROCEDURE,Stanley Pottinger,"Bal lantine,",
04-16-1995,12,THE JUROR,George Dawes Green,"Warner,",
04-16-1995,13,MUTANT MESSAGE DOWN UNDER,Marlo Morgan,"Har perCollins,",
04-16-1995,14,SILENT TREATMENT,Michael Palmer,"Bantam,",
04-16-1995,15,MOO,Jane Smiley,"Knopf,",
10-02-2011,1,NEW YORK TO DALLAS,J. D. Robb,"Putnam,",
10-02-2011,2,THE NIGHT CIRCUS,Erin Morgenstern,"Doubleday ,",
10-02-2011,3,KILL ME IF YOU CAN,James Patterson and Marsha ll Karp,,
10-02-2011,4,ABUSE OF POWER,Michael Savage,"St. Martin‘s,",
10-02-2011,5,ROBERT B. PARKER'S KILLING THE BLUES,Michael Brandman,,
10-02-2011,6,THE RACE,Clive Cussler and Justin Scott,"Put nam,",
10-02-2011,7,A DANCE WITH DRAGONS,George R. R. Martin,"Ba ntam,",
10-02-2011,8,HOW FIRM A FOUNDATION,David Weber,"Tor/Tom D oherty,",
10-02-2011,9,THE ART OF FIELDING,Chad Harbach,"Little, Br own,",
10-02-2011,10,GODDESS OF VENGEANCE,Jackie Collins,"St. Ma rtin‘s,",
10-02-2011,11,THE PARIS WIFE,Paula McLain,"Ballantine,",
10-02-2011,12,DARK PREDATOR,Christine Feehan,"Berkley,",
10-02-2011,13,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"Knopf,",
10-02-2011,14,ONLY TIME WILL TELL,Jeffrey Archer,"St. Mar tin's,",
10-02-2011,15,STATE OF WONDER,Ann Patchett,"Harper/Harper Collins,",
10-02-2011,16,FLASH AND BONES,Kathy Reichs,"Scribner,",
06-10-1945,1,CAPTAIN FROM CASTILLE,Samuel Shellaburger,"L ittle, Brown.",
06-10-1945,2,THE BALLAD AND THE SOURCE,Rosamond Lehmann,,
06-10-1945,3,THE WIDE HOUSE,Taylor Caldwell,Scribner.,
06-10-1945,4,GREEN DOLPHIN STREET,Elizabeth Goudge,Cowar d-McCann.,
06-10-1945,5,A LION IS IN THE STREETS,Adria Locke Langley,McGraw-Hill.,
05-12-1985,1,THINNER,Richard Bachman,"NAL Books,",
05-12-1985,2,CHAPTERHOUSE: DUNE,Frank Herbert,"Putnam,",
05-12-1985,3,"INSIDE, OUTSIDE",Herman Wouk,"Little, Brown,",
05-12-1985,4,IF TOMORROW COMES,Sidney Sheldon,"Morrow,",
05-12-1985,5,THE HUNT FOR RED OCTOBER,Tom Clancy,,
05-12-1985,6,FAMILY ALBUM,Danielle Steel,"Delacorte,",
05-12-1985,7,THE CLASS,Erich Segal,"Bantam,",
05-12-1985,8,THE LONELY SILVER RAIN,John D. MacDonald,"Kn opf,",
05-12-1985,9,QUEENIE,Michael Korda,"Linden Press/ Simon &  Schuster,",
05-12-1985,10,GLITZ,Elmore Leonard,"Arbor House,",
05-12-1985,11,PROOF,Dick Francis,"Putnam,",
05-12-1985,12,MEN AND ANGELS,Mary Gordon,"Random House,",
05-12-1985,13,A CREED FOR THE THIRD MILLENNIUM,Colleen Mc Cullough,,
05-12-1985,14,THE SICILIAN,Mario Puzo,"Linden Press/ Simo n & Schuster,",
05-12-1985,15,THE FINISHING SCHOOL,Gail Godwin,"Viking,",
11-21-2010,1,TOWERS OF MIDNIGHT,Robert Jordan and Brandon Sanderson,,
11-21-2010,2,THE CONFESSION,John Grisham,"Doubleday,",
11-21-2010,3,INDULGENCE IN DEATH,J. D. Robb,"Putnam,",
11-21-2010,4,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg L arsson,,
11-21-2010,5,AMERICAN ASSASSIN,Vince Flynn,"Atria,",
11-21-2010,6,MOONLIGHT MILE,Dennis Lehane,"Morrow/HarperC ollins,",
11-21-2010,7,WORTH DYING FOR,Lee Child,"Delacorte,",
11-21-2010,8,FALL OF GIANTS,Ken Follett,"Dutton,",
11-21-2010,9,IN THE COMPANY OF OTHERS,Jan Karon,"Viking,",
11-21-2010,10,SQUIRREL SEEKS CHIPMUNK,David Sedaris,"Litt le, Brown,",
11-21-2010,11,SAFE HAVEN,Nicholas Sparks,"Grand Central,",
11-21-2010,12,THE HELP,Kathryn Stockett,"Amy Einhorn/Putn am,",
11-21-2010,13,SIDE JOBS,Jim Butcher,"Roc,",
11-21-2010,14,EDGE,Jeffery Deaver,"Simon & Schuster,","When a Washington, D"
11-21-2010,15,FREEDOM,Jonathan Franzen,"Farrar, Straus & Giroux,",
10-16-2011,1,THE AFFAIR,Lee Child,"Delacorte,","For J ack Reacher, an elite military police officer, it all started in 1997. A lonely ra ilroad track"
10-16-2011,2,1225 CHRISTMAS TREE LANE,Debbie Macomber,"Mi ra,",
10-16-2011,3,FEAST DAY OF FOOLS,James Lee Burke,"Simon & Schuster,",
10-16-2011,4,THE NIGHT CIRCUS,Erin Morgenstern,"Doubleday ,",
10-16-2011,5,LETHAL,Sandra Brown,"Grand Central,",
10-16-2011,6,ALEPH,Paulo Coelho,"Knopf,",
10-16-2011,7,SON OF STONE,Stuart Woods,"Putnam,",
10-16-2011,8,A DANCE WITH DRAGONS,George R. R. Martin,"Ba ntam,",
10-16-2011,9,NEW YORK TO DALLAS,J. D. Robb,"Putnam,",
